 t 		 x 		 y
 1.3200 	 13.1410 	 3157.1231
 1.3300 	 13.2400 	 3156.9943
 1.3400 	 13.3390 	 3156.8645
 1.3500 	 13.4380 	 3156.7338
 1.3600 	 13.5370 	 3156.6021
 1.3700 	 13.6360 	 3156.4694
 1.3800 	 13.7349 	 3156.3358
 1.3900 	 13.8339 	 3156.2012
 1.4000 	 13.9328 	 3156.0656
 1.4100 	 14.0318 	 3155.9290
 1.4200 	 14.1307 	 3155.7915
 1.4300 	 14.2296 	 3155.6530
 1.4400 	 14.3285 	 3155.5136
 1.4500 	 14.4274 	 3155.3732
 1.4600 	 14.5263 	 3155.2318
 1.4700 	 14.6252 	 3155.0895
 1.4800 	 14.7240 	 3154.9462
 1.4900 	 14.8229 	 3154.8019
 1.5000 	 14.9217 	 3154.6567
 1.5100 	 15.0205 	 3154.5105
 1.5200 	 15.1194 	 3154.3633
 1.5300 	 15.2182 	 3154.2152
 1.5400 	 15.3170 	 3154.0661
 1.5500 	 15.4157 	 3153.9160
 1.5600 	 15.5145 	 3153.7650
 1.5700 	 15.6133 	 3153.6130
 1.5800 	 15.7120 	 3153.4600
 1.5900 	 15.8108 	 3153.3061
 1.6000 	 15.9095 	 3153.1512
 1.6100 	 16.0082 	 3152.9954
 1.6200 	 16.1069 	 3152.8386
 1.6300 	 16.2056 	 3152.6808
 1.6400 	 16.3043 	 3152.5221
 1.6500 	 16.4030 	 3152.3624
 1.6600 	 16.5017 	 3152.2017
 1.6700 	 16.6003 	 3152.0401
 1.6800 	 16.6990 	 3151.8775
 1.6900 	 16.7976 	 3151.7139
 1.7000 	 16.8962 	 3151.5494
 1.7100 	 16.9948 	 3151.3839
 1.7200 	 17.0934 	 3151.2175
 1.7300 	 17.1920 	 3151.0501
 1.7400 	 17.2906 	 3150.8818
 1.7500 	 17.3891 	 3150.7124
 1.7600 	 17.4877 	 3150.5422
 1.7700 	 17.5862 	 3150.3709
 1.7800 	 17.6847 	 3150.1987
 1.7900 	 17.7832 	 3150.0256
 1.8000 	 17.8817 	 3149.8514
 1.8100 	 17.9802 	 3149.6764
 1.8200 	 18.0787 	 3149.5003
 1.8300 	 18.1772 	 3149.3233
 1.8400 	 18.2756 	 3149.1454
 1.8500 	 18.3741 	 3148.9665
 1.8600 	 18.4725 	 3148.7866
 1.8700 	 18.5709 	 3148.6058
 1.8800 	 18.6693 	 3148.4240
 1.8900 	 18.7677 	 3148.2412
 1.9000 	 18.8661 	 3148.0575
 1.9100 	 18.9644 	 3147.8729
 1.9200 	 19.0628 	 3147.6872
 1.9300 	 19.1611 	 3147.5007
 1.9400 	 19.2595 	 3147.3131
 1.9500 	 19.3578 	 3147.1246
 1.9600 	 19.4561 	 3146.9352
 1.9700 	 19.5544 	 3146.7448
 1.9800 	 19.6526 	 3146.5534
 1.9900 	 19.7509 	 3146.3611
 2.0000 	 19.8491 	 3146.1678
 2.0100 	 19.9474 	 3145.9736
 2.0200 	 20.0456 	 3145.7784
 2.0300 	 20.1438 	 3145.5823
 2.0400 	 20.2420 	 3145.3852
 2.0500 	 20.3402 	 3145.1871
 2.0600 	 20.4384 	 3144.9881
 2.0700 	 20.5365 	 3144.7882
 2.0800 	 20.6347 	 3144.5873
 2.0900 	 20.7328 	 3144.3854
 2.1000 	 20.8309 	 3144.1826
 2.1100 	 20.9290 	 3143.9788
 2.1200 	 21.0271 	 3143.7741
 2.1300 	 21.1252 	 3143.5684
 2.1400 	 21.2232 	 3143.3618
 2.1500 	 21.3213 	 3143.1542
 2.1600 	 21.4193 	 3142.9457
 2.1700 	 21.5174 	 3142.7362
 2.1800 	 21.6154 	 3142.5258
 2.1900 	 21.7134 	 3142.3144
 2.2000 	 21.8113 	 3142.1021
 2.2100 	 21.9093 	 3141.8888
 2.2200 	 22.0072 	 3141.6746
 2.2300 	 22.1052 	 3141.4594
 2.2400 	 22.2031 	 3141.2432
 2.2500 	 22.3010 	 3141.0262
 2.2600 	 22.3989 	 3140.8081
 2.2700 	 22.4968 	 3140.5891
 2.2800 	 22.5947 	 3140.3692
 2.2900 	 22.6925 	 3140.1483
 2.3000 	 22.7903 	 3139.9265
 2.3100 	 22.8882 	 3139.7037
 2.3200 	 22.9860 	 3139.4800
 2.3300 	 23.0838 	 3139.2553
 2.3400 	 23.1815 	 3139.0297
 2.3500 	 23.2793 	 3138.8031
 2.3600 	 23.3771 	 3138.5756
 2.3700 	 23.4748 	 3138.3472
 2.3800 	 23.5725 	 3138.1178
 2.3900 	 23.6702 	 3137.8874
 2.4000 	 23.7679 	 3137.6561
 2.4100 	 23.8656 	 3137.4239
 2.4200 	 23.9632 	 3137.1907
 2.4300 	 24.0609 	 3136.9566
 2.4400 	 24.1585 	 3136.7215
 2.4500 	 24.2561 	 3136.4855
 2.4600 	 24.3537 	 3136.2485
 2.4700 	 24.4513 	 3136.0106
 2.4800 	 24.5489 	 3135.7717
 2.4900 	 24.6464 	 3135.5319
 2.5000 	 24.7440 	 3135.2912
 2.5100 	 24.8415 	 3135.0495
 2.5200 	 24.9390 	 3134.8069
 2.5300 	 25.0365 	 3134.5633
 2.5400 	 25.1340 	 3134.3188
 2.5500 	 25.2314 	 3134.0734
 2.5600 	 25.3289 	 3133.8270
 2.5700 	 25.4263 	 3133.5796
 2.5800 	 25.5237 	 3133.3314
 2.5900 	 25.6211 	 3133.0821
 2.6000 	 25.7185 	 3132.8320
 2.6100 	 25.8158 	 3132.5809
 2.6200 	 25.9132 	 3132.3289
 2.6300 	 26.0105 	 3132.0759
 2.6400 	 26.1078 	 3131.8220
